13,"WRAP",1,60,2900,33,2050,2700
14,"HYPER_BEAM",1,150,3800,100,3300,3600
16,"DARK_PULSE",17,80,3000,50,1400,2300
18,"SLUDGE",4,50,2100,33,1200,1550
20,"VICE_GRIP",1,35,1900,33,1100,1500
21,"FLAME_WHEEL",10,60,2700,50,2100,2400
22,"MEGAHORN",7,110,2200,100,1700,1900
24,"FLAMETHROWER",10,70,2200,50,1500,1700
26,"DIG",5,100,4700,50,2800,4500
28,"CROSS_CHOP",2,50,1500,50,800,1200
30,"PSYBEAM",14,70,3200,50,1300,2700
31,"EARTHQUAKE",5,140,3600,100,2700,3500
32,"STONE_EDGE",6,100,2300,100,700,2100
33,"ICE_PUNCH",15,50,1900,33,1300,1600
34,"HEART_STAMP",14,40,1900,33,1100,1600
35,"DISCHARGE",13,65,2500,33,1700,2100
36,"FLASH_CANNON",9,100,2700,100,1600,2500
38,"DRILL_PECK",3,60,2300,33,1700,2100
39,"ICE_BEAM",15,90,3300,50,1300,2800
40,"BLIZZARD",15,130,3100,100,1500,2900
42,"HEAT_WAVE",10,95,3000,100,1700,2800
45,"AERIAL_ACE",3,55,2400,33,1900,2200
46,"DRILL_RUN",5,80,2800,50,1700,2600
47,"PETAL_BLIZZARD",12,110,2600,100,1700,2300
48,"MEGA_DRAIN",12,25,2600,50,950,2000
49,"BUG_BUZZ",7,90,3700,50,2000,3100
50,"POISON_FANG",4,35,1700,33,900,1400
51,"NIGHT_SLASH",17,50,2200,33,1300,2000
53,"BUBBLE_BEAM",11,45,1900,33,1450,1700
54,"SUBMISSION",2,60,2200,50,1800,2000
56,"LOW_SWEEP",2,40,1900,33,1300,1650
57,"AQUA_JET",11,45,2600,33,1700,2100
58,"AQUA_TAIL",11,50,1900,33,1200,1650
59,"SEED_BOMB",12,55,2100,33,1200,1900
60,"PSYSHOCK",14,65,2700,33,2000,2600
62,"ANCIENT_POWER",6,70,3500,33,2850,3100
63,"ROCK_TOMB",6,70,3200,50,2250,3000
64,"ROCK_SLIDE",6,80,2700,50,1500,2600
65,"POWER_GEM",6,80,2900,50,1950,2700
66,"SHADOW_SNEAK",8,50,2900,33,2200,2700
67,"SHADOW_PUNCH",8,40,1700,33,1300,1500
69,"OMINOUS_WIND",8,50,2300,33,1850,2100
70,"SHADOW_BALL",8,100,3000,50,2400,2800
72,"MAGNET_BOMB",9,70,2800,33,2200,2600
74,"IRON_HEAD",9,60,1900,50,1300,1700
75,"PARABOLIC_CHARGE",13,25,2800,50,1200,2400
77,"THUNDER_PUNCH",13,45,1800,33,1700,1550
78,"THUNDER",13,100,2400,100,1200,2200
79,"THUNDERBOLT",13,80,2500,50,1800,2300
80,"TWISTER",16,45,2800,33,950,2600
82,"DRAGON_PULSE",16,90,3600,50,2150,3300
83,"DRAGON_CLAW",16,50,1700,33,1100,1300
84,"DISARMING_VOICE",18,70,3900,33,3200,3500
85,"DRAINING_KISS",18,60,2600,50,1000,1300
86,"DAZZLING_GLEAM",18,100,3500,50,2100,3300
87,"MOONBLAST",18,130,3900,100,2200,3700
88,"PLAY_ROUGH",18,90,2900,50,1300,2700
89,"CROSS_POISON",4,40,1500,33,900,1300
90,"SLUDGE_BOMB",4,80,2300,50,1100,2100
91,"SLUDGE_WAVE",4,110,3200,100,2000,3000
92,"GUNK_SHOT",4,130,3100,100,1700,2700
94,"BONE_CLUB",5,40,1600,33,1000,1400
95,"BULLDOZE",5,80,3500,50,2600,3100
96,"MUD_BOMB",5,55,2300,33,1700,2100
99,"SIGNAL_BEAM",7,75,2900,50,1800,2600
100,"X_SCISSOR",7,45,1600,33,1200,1400
101,"FLAME_CHARGE",10,70,3800,33,2900,3450
102,"FLAME_BURST",10,70,2600,50,1000,2100
103,"FIRE_BLAST",10,140,4200,100,3100,3900
104,"BRINE",11,60,2300,50,1500,2100
105,"WATER_PULSE",11,70,3200,50,2200,2900
106,"SCALD",11,80,3700,50,1300,3400
107,"HYDRO_PUMP",11,130,3300,100,900,3000
108,"PSYCHIC",14,90,2800,50,1300,2600
109,"PSYSTRIKE",14,90,2300,50,1000,2000
111,"ICY_WIND",15,60,3300,33,2000,2800
114,"GIGA_DRAIN",12,50,3900,100,1200,2200
115,"FIRE_PUNCH",10,55,2200,33,1500,1900
116,"SOLAR_BEAM",12,180,4900,100,2700,4700
117,"LEAF_BLADE",12,70,2400,33,1250,2200
118,"POWER_WHIP",12,90,2600,50,1250,2350
121,"AIR_CUTTER",3,60,2700,50,1800,2500
122,"HURRICANE",3,110,2700,100,1200,2400
123,"BRICK_BREAK",2,40,1600,33,800,1400
125,"SWIFT",1,60,2800,50,2000,2600
126,"HORN_ATTACK",1,40,1850,33,800,1650
127,"STOMP",1,55,1700,50,1100,1500
129,"HYPER_FANG",1,80,2500,50,1500,2000
131,"BODY_SLAM",1,50,1900,33,1200,1700
132,"REST",1,50,1900,33,1500,1700
133,"STRUGGLE",1,35,2200,33,1200,2000
134,"SCALD_BLASTOISE",11,50,4700,100,2500,4600
135,"HYDRO_PUMP_BLASTOISE",11,90,4500,100,2200,4300
136,"WRAP_GREEN",1,25,2900,33,2050,2700
137,"WRAP_PINK",1,25,2900,33,2050,2700
245,"CLOSE_COMBAT",2,100,2300,100,1000,2300
246,"DYNAMIC_PUNCH",2,90,2700,50,1200,2700
247,"FOCUS_BLAST",2,140,3500,100,3000,3500
